secs,storenum,dayofweek
344,528,Fri
140,472,Fri
158,824,Thur
107,767,Mon
118,173,Tues
168,4,Wed
184,678,Mon
230,528,Tues
88,733,Wed
432,809,Tues
346,50,Tues
112,791,Mon
115,651,Thur
161,41,Fri
142,879,Wed
90,640,Wed
312,390,Tues
287,107,Thur
261,242,Fri
151,502,Wed
197,592,Mon
43,819,Fri
327,778,Wed
64,648,Wed
129,731,Fri
110,305,Tues
209,594,Mon
121,497,Wed
136,823,Thur
157,820,Fri
148,245,Mon
142,325,Tues
588,283,Tues
31,544,Fri
140,797,Wed
78,810,Mon
274,738,Tues
256,573,Wed
184,31,Tues
51,693,Mon
96,442,Tues
36,371,Thur
33,567,Tues
116,554,Wed
305,192,Wed
351,570,Mon
319,7,Fri
417,198,Wed
315,406,Fri
50,4,Fri
117,243,Thur
34,636,Tues
345,786,Tues
162,162,Fri
45,861,Tues
143,223,Mon
526,855,Wed
97,260,Fri
134,204,Tues
149,34,Mon
140,500,Tues
354,93,Thur
228,150,Mon
241,813,Wed
327,610,Fri
146,478,Thur
207,781,Tues
79,60,Tues
401,637,Wed
461,337,Thur
135,874,Tues
487,597,Tues
109,164,Wed
174,331,Mon
101,10,Tues
215,184,Tues
77,105,Fri
193,430,Tues
554,249,Wed
105,169,Thur
135,519,Wed
298,391,Mon
168,325,Tues
142,693,Wed
249,629,Mon
69,425,Mon
337,649,Thur
240,36,Wed
145,280,Mon
238,817,Thur
551,331,Thur
183,273,Mon
191,760,Thur
263,69,Mon
274,848,Tues
147,469,Thur
151,555,Fri
44,83,Thur
290,744,Wed
360,14,Mon
397,573,Tues
39,783,Mon
171,543,Tues
359,310,Tues
85,39,Thur
81,508,Mon
346,723,Fri
157,562,Mon
412,91,Mon
514,487,Mon
144,588,Thur
85,513,Thur
41,218,Fri
492,773,Wed
333,79,Thur
180,591,Fri
107,63,Wed
202,42,Tues
582,860,Fri
534,134,Mon
168,167,Thur
346,610,Mon
477,609,Fri
222,83,Thur
55,252,Fri
117,827,Fri
401,765,Fri
55,342,Mon
143,106,Wed
57,891,Tues
332,879,Tues
167,730,Tues
126,278,Mon
35,425,Wed
97,593,Mon
47,87,Wed
32,851,Fri
172,379,Mon
105,686,Wed
270,634,Tues
520,160,Fri
182,488,Thur
169,165,Mon
169,861,Fri
82,443,Fri
176,226,Wed
83,318,Wed
113,499,Wed
32,652,Fri
97,291,Wed
135,737,Thur
128,123,Tues
101,404,Fri
58,337,Tues
49,416,Tues
301,682,Wed
181,708,Thur
153,234,Wed
97,860,Mon
43,147,Tues
32,479,Mon
130,569,Thur
287,517,Wed
137,210,Mon
136,389,Wed
141,99,Tues
143,699,Mon
416,590,Mon
116,573,Tues
99,759,Thur
90,606,Fri
124,273,Fri
139,210,Fri
454,630,Thur
215,334,Fri
167,743,Wed
148,350,Tues
501,231,Tues
60,823,Mon
143,126,Mon
144,856,Mon
174,581,Thur
50,248,Fri
395,216,Tues
172,648,Tues
273,356,Fri
55,172,Fri
127,563,Fri
48,86,Tues
87,131,Wed
585,709,Thur
117,494,Wed
142,869,Mon
184,749,Tues
199,104,Fri
146,374,Fri
167,440,Thur
114,544,Fri
146,633,Mon
219,6,Tues
517,793,Fri
267,418,Thur
160,88,Wed
351,211,Thur
31,104,Wed
183,283,Tues
583,184,Fri
374,80,Thur
407,183,Fri
430,875,Thur
69,250,Fri
284,707,Thur
56,441,Wed
253,8,Tues
161,725,Mon
112,186,Fri
148,807,Mon
457,314,Mon
155,188,Fri
142,324,Mon
50,551,Thur
185,211,Fri
364,256,Fri
144,272,Mon
78,555,Fri
94,835,Mon
310,727,Tues
83,82,Wed
122,447,Fri
306,217,Wed
285,640,Mon
56,512,Thur
166,418,Wed
187,51,Wed
80,511,Thur
160,384,Mon
163,646,Wed
164,692,Thur
77,653,Tues
76,586,Thur
551,357,Tues
165,887,Wed
93,254,Wed
135,303,Mon
170,435,Wed
573,354,Fri
243,407,Tues
95,350,Wed
127,167,Tues
196,396,Fri
152,115,Wed
288,892,Mon
123,346,Wed
150,656,Tues
414,376,Mon
75,176,Wed
549,250,Tues
366,74,Mon
113,535,Wed
159,162,Thur
76,818,Thur
555,587,Fri
252,336,Thur
113,340,Mon
68,626,Mon
162,526,Thur
107,202,Fri
167,86,Wed
527,392,Mon
323,860,Wed
177,50,Wed
65,501,Wed
134,116,Tues
223,780,Mon
30,454,Thur
177,794,Mon
45,516,Mon
77,503,Fri
274,517,Tues
402,493,Wed
191,45,Tues
97,666,Fri
140,328,Thur
264,448,Tues
525,889,Wed
166,515,Tues
575,246,Thur
146,606,Fri
225,485,Tues
508,349,Wed
95,329,Thur
324,557,Wed
235,547,Tues
89,314,Thur
230,242,Thur
588,622,Tues
132,244,Mon
310,25,Fri
144,432,Tues
101,114,Mon
208,321,Thur
473,798,Tues
32,564,Tues
136,616,Thur
154,293,Wed
248,640,Thur
238,654,Wed
239,432,Fri
117,179,Fri
165,270,Fri
476,777,Fri
277,651,Wed
99,444,Mon
490,351,Thur
384,124,Fri
54,323,Fri
124,153,Wed
121,461,Tues
157,703,Tues
119,575,Mon
320,445,Tues
119,565,Wed
410,309,Tues
212,864,Mon
126,649,Tues
129,487,Mon
491,456,Thur
344,783,Thur
105,496,Mon
495,527,Fri
91,209,Tues
33,192,Mon
155,270,Fri
48,184,Tues
97,590,Thur
408,639,Tues
371,242,Wed
466,839,Tues
127,88,Fri
124,557,Mon
146,224,Mon
278,728,Tues
151,93,Fri
129,394,Fri
336,114,Fri
318,858,Thur
178,56,Thur
350,700,Mon
174,567,Wed
34,246,Thur
97,668,Mon
381,149,Mon
343,540,Tues
455,606,Thur
141,643,Fri
265,806,Wed
361,143,Wed
83,238,Thur
86,441,Mon
307,593,Fri
92,872,Thur
157,556,Wed
289,758,Fri
100,557,Mon
145,129,Mon
111,365,Fri
179,294,Fri
60,391,Thur
118,690,Mon
206,595,Thur
158,267,Mon
126,337,Wed
159,132,Fri
106,541,Tues
515,456,Tues
45,861,Wed
427,16,Mon
160,354,Fri
240,824,Fri
306,111,Thur
137,622,Fri
395,227,Tues
101,827,Mon
317,681,Fri
109,126,Fri
198,183,Fri
73,766,Tues
293,258,Fri
174,826,Wed
272,573,Thur
169,121,Thur
390,407,Tues
206,373,Tues
195,149,Mon
68,287,Tues
30,713,Wed
112,179,Mon
311,151,Thur
383,232,Wed
122,535,Tues
218,272,Mon
366,591,Thur
125,772,Wed
304,10,Thur
125,17,Mon
151,5,Fri
216,185,Thur
514,655,Thur
291,556,Tues
143,6,Tues
138,380,Thur
216,459,Wed
542,775,Thur
453,508,Tues
169,632,Tues
556,318,Thur
130,866,Wed
86,347,Thur
83,595,Thur
576,753,Wed
312,419,Mon
219,163,Thur
240,889,Mon
144,274,Tues
147,200,Tues
368,674,Thur
531,390,Mon
47,365,Mon
68,633,Tues
436,337,Wed
598,360,Wed
206,873,Wed
129,545,Tues
278,334,Fri
140,155,Tues
154,494,Fri
421,55,Wed
488,125,Tues
471,334,Wed
517,546,Fri
178,788,Wed
299,770,Thur
460,443,Mon
119,815,Mon
78,496,Tues
128,379,Mon
178,783,Mon
525,568,Thur
271,672,Mon
337,328,Thur
486,268,Wed
146,72,Fri
260,89,Thur
34,478,Thur
261,507,Thur
554,263,Wed
88,374,Fri
464,35,Fri
122,99,Fri
125,369,Fri
42,666,Wed
183,92,Mon
202,700,Tues
389,125,Mon
184,853,Wed
165,886,Mon
112,866,Mon
435,27,Tues
105,416,Mon
98,118,Mon
139,506,Wed
551,535,Thur
165,742,Thur
164,765,Fri
466,534,Wed
181,765,Mon
133,235,Wed
154,460,Mon
130,590,Mon
326,804,Fri
480,143,Thur
450,683,Fri
170,709,Thur
83,806,Wed
133,669,Tues
277,755,Mon
162,639,Fri
82,36,Tues
157,297,Wed
126,177,Fri
140,744,Fri
133,312,Mon
522,753,Tues
135,597,Wed
71,857,Fri
164,88,Mon
349,44,Thur
132,270,Tues
546,537,Mon
67,801,Fri
31,672,Fri
188,662,Wed
173,815,Fri
485,177,Thur
463,500,Mon
123,13,Mon
594,663,Mon
460,246,Mon
256,842,Wed
221,731,Wed
170,837,Fri
187,877,Fri
568,658,Mon
106,744,Wed
581,430,Thur
554,531,Wed
75,302,Mon
277,193,Wed
132,760,Mon
202,701,Thur
234,484,Thur
130,481,Fri
414,99,Mon
74,366,Mon
253,368,Mon
128,740,Mon
153,68,Mon
370,470,Wed
343,259,Thur
104,447,Fri
434,595,Mon
272,252,Thur
43,740,Fri
558,723,Wed
213,101,Fri
255,223,Fri
420,119,Thur
176,809,Wed
147,160,Mon
109,32,Thur
62,545,Fri
98,825,Mon
495,696,Tues
67,444,Wed
291,381,Fri
159,561,Tues
203,177,Mon
155,476,Wed
54,187,Mon
143,246,Mon
444,336,Fri
324,869,Thur
149,482,Thur
153,763,Tues
143,826,Wed
121,167,Mon
32,293,Fri
252,665,Thur
491,448,Thur
168,364,Tues
54,573,Thur
366,811,Wed
159,233,Mon
286,9,Tues
231,23,Wed
142,318,Wed
132,890,Thur
144,544,Fri
93,891,Tues
248,182,Thur
161,764,Mon
151,701,Thur
199,331,Tues
130,75,Mon
118,471,Mon
147,94,Tues
154,356,Mon
115,446,Thur
199,132,Thur
232,520,Thur
148,177,Wed
507,879,Thur
282,887,Mon
131,774,Mon
303,276,Thur
152,418,Wed
368,802,Mon
147,423,Thur
118,563,Fri
83,193,Fri
91,444,Fri
127,147,Tues
75,140,Mon
227,348,Wed
403,216,Tues
375,41,Wed
179,581,Tues
169,472,Wed
404,319,Thur
241,548,Tues
292,291,Wed
266,349,Tues
368,839,Thur
132,177,Tues
120,213,Thur
430,9,Thur
100,608,Tues
393,515,Fri
199,610,Mon
46,419,Thur
521,139,Tues
240,483,Wed
373,428,Mon
161,533,Thur
474,750,Mon
139,271,Wed
147,200,Tues
250,585,Wed
223,93,Tues
171,855,Mon
39,879,Fri
92,718,Thur
375,176,Wed
116,831,Thur
53,566,Wed
54,233,Tues
328,45,Mon
148,71,Wed
31,159,Thur
199,352,Fri
516,89,Thur
173,631,Wed
98,340,Tues
96,844,Fri
129,397,Thur
383,275,Tues
70,836,Mon
475,280,Fri
95,787,Thur
124,691,Mon
180,431,Tues
336,199,Thur
58,664,Wed
155,575,Fri
258,737,Mon
171,547,Wed
130,467,Tues
174,257,Tues
120,136,Fri
485,59,Wed
180,732,Fri
46,735,Fri
106,135,Fri
511,563,Tues
99,875,Tues
338,286,Mon
368,733,Wed
368,244,Thur
109,658,Mon
245,145,Fri
272,847,Tues
167,680,Fri
186,870,Fri
92,749,Tues
341,816,Tues
41,539,Wed
183,617,Fri
109,608,Fri
178,858,Wed
329,754,Fri
152,532,Wed
94,182,Wed
350,637,Mon
493,277,Fri
508,440,Mon
139,491,Mon
76,69,Mon
277,391,Wed
289,629,Mon
168,824,Tues
147,461,Tues
401,824,Tues
106,543,Tues
38,44,Tues
40,257,Mon
78,61,Fri
97,699,Fri
389,30,Wed
147,874,Fri
188,497,Mon
308,687,Mon
217,114,Thur
116,299,Fri
244,396,Mon
141,547,Wed
139,736,Tues
42,131,Wed
131,42,Mon
183,106,Tues
214,237,Thur
120,755,Wed
106,551,Fri
559,72,Wed
78,780,Mon
152,508,Wed
107,713,Fri
303,462,Wed
40,653,Tues
132,380,Thur
251,252,Tues
69,721,Tues
137,801,Fri
355,847,Wed
415,760,Thur
91,97,Tues
177,420,Wed
54,286,Tues
132,658,Fri
81,656,Thur
100,336,Wed
255,113,Thur
55,505,Fri
152,719,Thur
426,794,Mon
379,756,Wed
317,657,Wed
37,324,Tues
168,3,Mon
98,346,Wed
59,350,Wed
333,120,Fri
88,108,Fri
167,259,Fri
527,540,Thur
143,566,Wed
248,485,Thur
284,408,Mon
151,557,Fri
422,420,Mon
99,296,Wed
318,558,Tues
94,77,Tues
220,52,Thur
177,383,Mon
267,805,Thur
215,808,Tues
480,344,Fri
93,420,Tues
155,68,Wed
108,444,Thur
118,350,Wed
505,713,Fri
276,272,Thur
122,333,Thur
297,621,Fri
170,272,Mon
82,200,Wed
203,445,Thur
343,714,Thur
394,167,Thur
139,816,Fri
56,18,Fri
31,156,Fri
94,571,Tues
289,182,Thur
112,422,Thur
33,782,Thur
594,319,Fri
598,172,Fri
152,511,Thur
233,494,Fri
259,53,Wed
537,689,Tues
274,615,Mon
152,143,Tues
135,198,Mon
443,752,Tues
155,704,Thur
586,113,Mon
42,838,Tues
69,326,Fri
126,153,Mon
166,676,Wed
154,776,Tues
130,722,Tues
191,284,Wed
103,24,Mon
46,480,Fri
484,240,Mon
303,482,Tues
497,584,Thur
192,468,Thur
143,581,Wed
186,673,Thur
122,754,Fri
263,289,Mon
238,411,Fri
77,18,Fri
149,148,Wed
195,70,Mon
154,433,Wed
251,220,Wed
91,879,Wed
90,60,Thur
470,745,Tues
210,383,Wed
40,89,Thur
150,235,Fri
377,369,Fri
186,831,Tues
188,338,Fri
99,747,Tues
184,150,Tues
152,466,Fri
132,810,Thur
141,139,Mon
222,554,Tues
43,98,Tues
38,218,Tues
178,358,Fri
304,60,Mon
171,780,Thur
150,323,Wed
166,12,Tues
153,273,Thur
358,811,Thur
128,365,Mon
160,640,Thur
39,839,Tues
418,155,Fri
149,777,Mon
336,889,Thur
487,426,Wed
120,670,Thur
308,369,Fri
334,860,Fri
86,277,Tues
73,156,Thur
100,862,Thur
76,263,Wed
128,331,Thur
319,109,Fri
64,763,Tues
167,37,Tues
414,545,Mon
76,844,Tues
118,125,Thur
152,480,Wed
174,684,Wed
108,760,Tues
357,347,Thur
50,531,Fri
309,348,Wed
143,674,Wed
157,491,Tues
37,761,Wed
174,885,Fri
130,297,Thur
150,420,Thur
136,508,Thur
200,111,Thur
577,666,Thur
414,472,Fri
512,577,Thur
141,453,Thur
147,818,Thur
175,639,Wed
119,459,Fri
294,209,Mon
425,261,Thur
52,525,Mon
427,572,Thur
265,55,Thur
156,145,Thur
84,807,Tues
264,660,Fri
134,892,Mon
113,351,Tues
205,801,Mon
350,453,Wed
278,384,Wed
65,628,Fri
152,841,Fri
63,463,Fri
187,474,Tues
196,524,Thur
87,495,Wed
104,25,Mon
191,617,Fri
152,659,Wed
152,580,Tues
138,377,Tues
107,124,Fri
266,287,Tues
94,258,Thur
177,329,Wed
206,491,Thur
439,154,Tues
170,399,Wed
407,749,Mon
158,692,Wed
126,553,Tues
84,66,Mon
97,40,Wed
186,316,Thur
273,4,Wed
243,351,Wed
113,614,Fri
328,286,Mon
348,444,Tues
57,357,Thur
151,571,Fri
33,156,Fri
396,37,Fri
164,733,Thur
287,244,Mon
157,827,Thur
80,542,Mon
402,202,Fri
161,100,Tues
129,35,Fri
112,37,Wed
55,755,Thur
42,723,Wed
128,492,Mon
414,464,Thur
314,361,Thur
180,782,Fri
61,803,Wed
126,467,Mon
104,203,Thur
152,425,Fri
173,853,Tues
193,448,Mon
204,461,Wed
164,256,Wed
112,607,Fri
168,214,Thur
150,702,Wed
75,132,Thur
330,638,Thur
131,53,Fri
103,796,Thur
310,304,Tues
122,542,Tues
136,745,Tues
136,372,Thur
253,309,Tues
337,781,Fri
148,85,Fri
97,317,Wed
175,628,Tues
466,779,Thur
142,210,Thur
402,107,Tues
257,347,Mon
56,728,Fri
118,592,Thur
170,721,Mon
81,213,Mon
83,466,Fri
290,643,Mon
57,419,Wed
579,220,Tues
536,689,Mon
273,635,Mon
408,871,Thur
102,240,Tues
130,562,Mon
334,326,Thur
312,676,Mon
542,39,Fri
135,52,Wed
145,888,Thur
183,194,Tues
155,600,Mon
83,35,Tues
142,402,Tues
154,6,Wed
558,181,Tues
490,436,Tues
173,250,Tues
269,543,Mon
320,106,Fri
45,613,Wed
429,412,Fri
279,447,Fri
167,463,Thur
113,109,Tues
117,25,Thur
142,764,Fri
240,562,Wed
584,784,Mon
192,707,Wed
165,482,Mon
466,233,Mon
194,385,Thur
157,252,Mon
59,291,Fri
136,535,Tues
115,660,Tues
310,389,Wed
257,709,Fri
353,335,Mon
225,876,Fri
117,717,Fri
232,346,Wed
159,764,Wed
162,469,Mon
155,318,Mon
134,157,Tues
190,514,Wed
217,760,Mon
135,368,Fri
108,247,Mon
108,79,Thur
96,6,Mon
168,493,Wed
92,233,Thur
447,157,Thur
139,718,Fri
525,598,Fri
521,838,Thur
185,286,Tues
31,522,Wed
189,3,Mon
144,99,Fri
192,195,Tues
430,667,Tues
458,375,Wed
78,147,Wed
61,728,Tues
139,314,Tues
455,414,Thur
299,882,Wed
123,546,Tues
214,147,Mon
323,459,Thur
262,250,Mon
157,589,Thur
152,81,Mon
449,558,Wed
223,224,Wed
200,348,Mon
190,713,Tues
147,30,Tues
215,504,Fri
526,816,Thur
248,274,Wed
178,113,Wed
206,327,Tues
155,27,Wed
120,836,Tues
37,165,Mon
450,255,Tues
160,543,Tues
239,378,Mon
47,738,Mon
44,167,Wed
147,58,Wed
109,823,Mon
212,885,Fri
54,499,Wed
104,890,Tues
73,690,Thur
291,727,Wed
194,342,Mon
493,203,Thur
120,68,Wed
177,462,Mon
203,38,Wed
56,596,Mon
73,385,Tues
99,363,Mon
281,421,Mon
164,228,Mon
356,636,Wed
188,445,Fri
297,21,Wed
389,366,Fri
169,147,Fri
168,92,Tues
137,261,Thur
166,348,Tues
530,583,Tues
72,86,Wed
131,381,Tues
305,62,Fri
106,491,Tues
89,645,Thur
207,250,Mon
186,477,Tues
353,489,Thur
33,102,Mon
64,778,Tues
36,332,Thur
88,288,Thur
100,302,Wed
161,646,Tues
121,792,Mon
102,570,Tues
35,180,Thur
291,885,Fri
123,43,Mon
95,783,Tues
250,671,Thur
347,541,Fri
513,829,Wed
41,558,Mon
361,693,Mon
308,11,Fri
180,664,Mon
