X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain
5,4,aug,thu,94.8,222.4,698.6,13.9,20.3,42,2.7,0
5,4,sep,fri,92.1,99,745.3,9.6,10.1,75,3.6,0
6,5,aug,thu,95.2,131.7,578.8,10.4,27.4,22,4,0
8,6,sep,fri,91.1,91.3,738.1,7.2,20.7,46,2.7,0
6,3,sep,fri,88.6,69.7,706.8,5.8,20.6,37,1.8,0
2,2,aug,tue,92.1,152.6,658.2,14.3,23.7,24,3.1,0
5,4,sep,fri,92.1,99,745.3,9.6,12.8,64,3.6,0
2,4,aug,sun,91.6,181.3,613,7.6,20.9,50,2.2,0
2,5,sep,wed,90.1,82.9,735.7,6.2,18.3,45,2.2,0
6,5,aug,wed,96,127.1,570.5,16.5,23.4,33,4.5,0
3,4,aug,thu,93,75.3,466.6,7.7,19.6,36,3.1,0
8,3,jun,mon,88.2,96.2,229,4.7,14.3,79,4,0
1,2,aug,sun,91.4,142.4,601.4,10.6,19.5,39,6.3,0
4,4,dec,mon,85.4,25.4,349.7,2.6,4.6,21,8.5,0
2,3,sep,mon,91.6,108.4,764,6.2,18,51,5.4,0
4,5,mar,fri,85.9,19.5,57.3,2.8,12.7,52,6.3,0
2,5,sep,mon,90.9,126.5,686.5,7,21.9,39,1.8,0
1,4,sep,sun,89.6,84.1,714.3,5.7,19,52,2.2,0
1,4,sep,mon,92.1,87.7,721.1,9.5,18.1,54,3.1,0
3,6,sep,mon,90.9,126.5,686.5,7,15.6,66,3.1,0
7,4,aug,sun,94.8,108.3,647.1,17,16.4,47,1.3,0
6,5,sep,fri,93.3,141.2,713.9,13.9,22.9,44,5.4,0
2,2,feb,sat,79.5,3.6,15.3,1.8,4.6,59,0.9,0
6,5,aug,wed,93.1,157.3,666.7,13.5,22.1,37,3.6,0
4,5,aug,sun,92,203.2,664.5,8.1,10.4,75,0.9,0
4,5,sep,thu,92.9,137,706.4,9.2,21.5,15,0.9,0
7,4,aug,sat,91.8,170.9,692.3,13.7,23.7,40,1.8,0
6,3,feb,sun,84.9,27.5,353.5,3.4,4.2,51,4,0
4,5,aug,wed,95.2,217.7,690,18,23.4,49,5.4,0
6,4,aug,thu,95.2,131.7,578.8,10.4,20.3,41,4,0
3,4,sep,mon,91.8,78.5,724.3,9.2,18.9,35,2.7,0
4,6,sep,sun,93.5,149.3,728.6,8.1,28.3,26,3.1,0
4,5,sep,wed,92.9,133.3,699.6,9.2,24.3,25,4,0
2,5,aug,sun,90.2,99.6,631.2,6.3,19.2,44,2.7,0
6,5,mar,fri,91.2,48.3,97.8,12.5,11.7,33,4,0
6,5,sep,mon,90.9,126.5,686.5,7,21.3,42,2.2,0
8,6,sep,mon,91.9,111.7,770.3,6.5,15.7,51,2.2,0
8,6,aug,fri,93.9,135.7,586.7,15.1,20.8,34,4.9,0
2,4,aug,mon,92.1,207,672.6,8.2,27.9,33,2.2,0
9,4,jul,sat,91.6,104.2,474.9,9,25.3,39,0.9,0
7,4,mar,mon,90.1,39.7,86.6,6.2,16.1,29,3.1,0
3,5,oct,wed,91.4,37.9,673.8,5.2,15.9,46,3.6,0
3,4,sep,fri,92.1,99,745.3,9.6,17.4,57,4.5,0
4,4,mar,tue,88.1,25.7,67.6,3.8,14.1,43,2.7,0
5,4,aug,fri,91,166.9,752.6,7.1,21.1,71,7.6,1.4
7,4,aug,sun,81.6,56.7,665.6,1.9,21.2,70,6.7,0
9,5,jun,wed,93.3,49.5,297.7,14,28,34,4.5,0
8,6,aug,sun,92.3,85.3,488,14.7,22.2,29,5.4,0
7,4,aug,sat,93.5,139.4,594.2,20.3,23.7,32,5.8,0
6,4,feb,tue,75.1,4.4,16.2,1.9,5.1,77,5.4,0
1,2,jul,fri,90.7,80.9,368.3,16.8,14.8,78,8,0
2,4,aug,wed,95.2,217.7,690,18,30.8,19,4.5,0
5,4,sep,fri,94.3,85.1,692.3,15.9,20.1,47,4.9,0
9,5,jun,wed,93.3,49.5,297.7,14,28,34,4.5,0
2,4,aug,thu,91.6,248.4,753.8,6.3,16.6,59,2.7,0
4,4,oct,sat,90.6,43.7,686.9,6.7,18.4,25,3.1,0
7,4,sep,fri,88.2,55.2,732.3,11.6,15.2,64,3.1,0
7,4,aug,sat,93.5,139.4,594.2,20.3,5.1,96,5.8,0
7,4,sep,fri,94.3,85.1,692.3,15.9,20.1,47,4.9,0
4,4,mar,sat,91.7,35.8,80.8,7.8,17,27,4.9,0
1,3,aug,sat,92.1,178,605.3,9.6,23.3,40,4,0
8,3,sep,thu,93.7,80.9,685.2,17.9,23.2,26,4.9,0
